Number,DOI,year,Material (accurate),Material,RE,RE_C,WE(substrate),Electrolyte,El_conc(M),A_concentration,scan(mV/s),pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),J__mA_cm2,loading mg_cm-2,Pot_Onset_V (NHE),Pot_Ox_V (NHE),Ox_Onset
1,10.1016/j.jece.2019.102922,2019,"Pt0,5_Ni0,5_Oy/Ti",Pt_Ni_O,RHE,standard,Ti,NaOH,1,1,10,14,"0,42","1,04","42,7","1,69","-0,406","0,214","0,62"
2,10.1002/celc.201402291,2014,Ptt,Pt,RHE,standard,Pt,H2SO4,"0,5","0,2",50,"0,59","0,68","0,84","0,425",,"0,64519","0,80519","0,16"
3,10.20964/2018.10.03,2018,Au/NiCo2O4(wt 6:1)/HPG,Au_Ni_Co_O,SCE,Sat.,HPG,KOH,1,1,5,14,"-0,52","0,088","99,2",,"-0,276","0,332","0,608"
3,10.20964/2018.10.03,2018,Au(20wt%),Au,SCE,Sat.,HPG,KOH,1,1,5,14,"-0,412","0,13","24,52",,"-0,168","0,374","0,542"
3,10.20964/2018.10.03,2018,NiCo2O4 ,Ni_Co_O,SCE,Sat.,HPG,KOH,1,1,5,14,"0,232","0,4",55,,"0,476","0,644","0,168"
4,10.1016/j.matpr.2017.12.386,2017,Pd/C,Pd_C,Ag/AgCl,Sat.,DGCE,KOH,"0,5",1,50,"13,45","-0,332","-0,06","9,18",,"-0,133","0,139","0,272"
4,10.1016/j.matpr.2017.12.386,2017,Au/C,Au_C,Ag/AgCl,Sat.,DGCE,KOH,"0,5",1,50,"13,45","-0,243","0,4","40,4",,"-0,044","0,599","0,643"
4,10.1016/j.matpr.2017.12.386,2017,Pd-Au/C cored,Pd_Au,Ag/AgCl,Sat.,DGCE,KOH,"0,5",1,50,"13,45","0,398","0,07","52,1",,"0,597","0,269","-0,328"
6,10.1039/c9ra09896h,2020,Pt– NiCo2O4 (wt 10 : 1)/HPG,Pt_Ni_Co_O,SCE,Sat.,HPG,KOH,1,1,5,14,"-0,648","-0,35","52,36",,"-0,404","-0,106","0,298"
6,10.1039/c9ra09896h,2020,Pt (30 wt%)/HPG,Pt,SCE,Sat.,HPG,KOH,1,1,5,14,"-0,623","-0,315","35,78",,"-0,379","-0,071","0,308"
7,10.1039/c9ra09896h,2020,"Pt/C (E-TEK, 30%wt)",Pt,SCE,Sat.,Commercial,KOH,1,1,5,14,"-0,571","-0,285","18,42",,"-0,327","-0,041","0,286"
7,10.55730/1300-0527.3506,2022,PdCu150,Pd_Cu,Ag/AgCl,Sat.,GCE,KOH,"0,5","0,5",50,"13,56","-0,5","0,048","36,02",,"-0,301","0,247","0,548"
7,10.55730/1300-0527.3506,2022,Pd/C(20 wt.% Pd),Pd_C,Ag/AgCl,Sat.,Commercial,KOH,"0,5","0,5",50,"13,56","-0,368","-0,0375","8,56",,"-0,169","0,1615","0,3305"
7,10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ag/AgCl,Sat.,GCE,NaOH,1,"0,1",20,14,"0,25","0,534","62,9","0,2","0,449","0,733","0,284"
7,10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ag/AgCl,Sat.,GCE,NaOH,,"0,1",20,"13,5","0,385","0,835","47,9","0,2","0,584","1,034","0,45"
8,10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ag/AgCl,Sat.,GCE,NaOH,1,"0,2",20,14,"0,25","0,652","91,67","0,2","0,449","0,851","0,402"
8,10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ag/AgCl,Sat.,GCE,NaOH,1,"0,3",20,14,"0,25","0,744","115,28","0,2","0,449","0,943","0,494"
8,10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ag/AgCl,Sat.,GCE,NaOH,1,"0,4",20,14,"0,25","0,774","125,14","0,2","0,449","0,973","0,524"
8,10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ag/AgCl,Sat.,GCE,NaOH,1,"0,5",20,14,"0,25","0,773","129,17","0,2","0,449","0,972","0,523"
9,10.1007/s10853-022-07471-7,2022,an-AT,Ti_O_Au,Ag/AgCl,"0,1 M KCl",Ti_O,NaOH,"0,1","0,5",50,"12,83","-0,15","0,6","13,956",,"0,049","0,799","0,75"
9,10.1007/s10853-022-07471-7,2022,an-ACT,Ti_O_Au_Cu,Ag/AgCl,"0,1 M KCl",Ti_O,NaOH,"0,1","0,5",50,"12,83","-0,087",1,"4,56",,"0,112","1,199","1,087"
